,tile_names,xs,ys,incorrect_chip_paths
45,m_2608064_nw_17_060_20191120.tif,5,11,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000270.jpg
46,m_2608064_nw_17_060_20191120.tif,6,11,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000271.jpg
47,m_2608064_nw_17_060_20191120.tif,6,11,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000271.jpg
48,m_2608064_nw_17_060_20191120.tif,7,11,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000272.jpg
49,m_2608064_nw_17_060_20191120.tif,7,11,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000272.jpg
50,m_2608064_nw_17_060_20191120.tif,8,11,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000273.jpg
51,m_2608064_nw_17_060_20191120.tif,8,11,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000273.jpg
52,m_2608064_nw_17_060_20191120.tif,6,12,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000295.jpg
53,m_2608064_nw_17_060_20191120.tif,6,12,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000295.jpg
54,m_2608064_nw_17_060_20191120.tif,7,12,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000296.jpg
55,m_2608064_nw_17_060_20191120.tif,7,12,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000296.jpg
56,m_2608064_nw_17_060_20191120.tif,1,13,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000314.jpg
57,m_2608064_nw_17_060_20191120.tif,1,13,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000314.jpg
58,m_2608064_nw_17_060_20191120.tif,6,13,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000319.jpg
59,m_2608064_nw_17_060_20191120.tif,6,13,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000319.jpg
60,m_2608064_nw_17_060_20191120.tif,7,13,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000320.jpg
61,m_2608064_nw_17_060_20191120.tif,7,13,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000320.jpg
62,m_2608064_nw_17_060_20191120.tif,6,14,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000343.jpg
63,m_2608064_nw_17_060_20191120.tif,6,14,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000343.jpg
64,m_2608064_nw_17_060_20191120.tif,9,15,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000370.jpg
65,m_2608064_nw_17_060_20191120.tif,9,15,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000370.jpg
66,m_2608064_nw_17_060_20191120.tif,11,15,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000372.jpg
67,m_2608064_nw_17_060_20191120.tif,11,15,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000372.jpg
68,m_2608064_nw_17_060_20191120.tif,8,16,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000393.jpg
69,m_2608064_nw_17_060_20191120.tif,8,16,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000393.jpg
70,m_2608064_nw_17_060_20191120.tif,9,16,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000394.jpg
71,m_2608064_nw_17_060_20191120.tif,9,16,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000394.jpg
72,m_2608064_nw_17_060_20191120.tif,10,16,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000395.jpg
73,m_2608064_nw_17_060_20191120.tif,10,16,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000395.jpg
74,m_2608064_nw_17_060_20191120.tif,11,16,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000396.jpg
75,m_2608064_nw_17_060_20191120.tif,11,16,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000396.jpg
76,m_2608064_nw_17_060_20191120.tif,12,16,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000397.jpg
77,m_2608064_nw_17_060_20191120.tif,12,16,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000397.jpg
78,m_2608064_nw_17_060_20191120.tif,2,17,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000411.jpg
79,m_2608064_nw_17_060_20191120.tif,2,17,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000411.jpg
80,m_2608064_nw_17_060_20191120.tif,3,17,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000412.jpg
81,m_2608064_nw_17_060_20191120.tif,3,17,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000412.jpg
82,m_2608064_nw_17_060_20191120.tif,8,17,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000417.jpg
83,m_2608064_nw_17_060_20191120.tif,8,17,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000417.jpg
84,m_2608064_nw_17_060_20191120.tif,9,17,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000418.jpg
85,m_2608064_nw_17_060_20191120.tif,9,17,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000418.jpg
86,m_2608064_nw_17_060_20191120.tif,10,17,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000419.jpg
87,m_2608064_nw_17_060_20191120.tif,10,17,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000419.jpg
88,m_2608064_nw_17_060_20191120.tif,11,17,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000420.jpg
89,m_2608064_nw_17_060_20191120.tif,11,17,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000420.jpg
90,m_2608064_nw_17_060_20191120.tif,12,17,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000421.jpg
91,m_2608064_nw_17_060_20191120.tif,12,17,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000421.jpg
92,m_2608064_nw_17_060_20191120.tif,1,18,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000434.jpg
93,m_2608064_nw_17_060_20191120.tif,1,18,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000434.jpg
94,m_2608064_nw_17_060_20191120.tif,2,18,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000435.jpg
95,m_2608064_nw_17_060_20191120.tif,2,18,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000435.jpg
96,m_2608064_nw_17_060_20191120.tif,3,18,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000436.jpg
97,m_2608064_nw_17_060_20191120.tif,3,18,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000436.jpg
98,m_2608064_nw_17_060_20191120.tif,4,18,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000437.jpg
99,m_2608064_nw_17_060_20191120.tif,4,18,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000437.jpg
100,m_2608064_nw_17_060_20191120.tif,11,18,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000444.jpg
101,m_2608064_nw_17_060_20191120.tif,11,18,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000444.jpg
102,m_2608064_nw_17_060_20191120.tif,12,18,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000445.jpg
103,m_2608064_nw_17_060_20191120.tif,12,18,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000445.jpg
104,m_2608064_nw_17_060_20191120.tif,0,19,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000457.jpg
105,m_2608064_nw_17_060_20191120.tif,0,19,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000457.jpg
106,m_2608064_nw_17_060_20191120.tif,1,19,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000458.jpg
107,m_2608064_nw_17_060_20191120.tif,1,19,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//verified/verified_sets/verify_1_josh_jaewon_amadu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000458.jpg
108,m_2608064_nw_17_060_20191120.tif,2,19,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_26080_m_2608064_nw_17_060_20191120_000459.jpg
