,incorrect_image_paths,correct_image_paths,correct_identified_image_indicies,incorrect_image_indicies
23,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909007_sw_15_060_20190707_000243.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909007_sw_15_060_20190707_000252.jpg,489,13
24,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30090_m_3009059_se_15_060_20190831_000122.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\fl_60cm_2019_30081_m_3008144_nw_17_060_20191119_000122.jpg,746,307
25,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29089_m_2908901_sw_16_060_20190707_000483.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29093_m_2909309_se_15_060_20190726_000483.jpg,350,107
26,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_sw_17_060_20191129_000292.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909008_sw_15_060_20190707_000303.jpg,251,224
27,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_sw_15_060_20190726_000321.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\al_60cm_2019_30088_m_3008824_ne_16_060_20191115_000334.jpg,847,46
28,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909007_sw_15_060_20190707_000193.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909007_sw_15_060_20190707_000200.jpg,484,235
29,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909007_sw_15_060_20190707_000194.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909007_sw_15_060_20190707_000201.jpg,485,270
30,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_sw_15_060_20190726_000466.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\al_60cm_2019_30088_m_3008824_ne_16_060_20191115_000485.jpg,854,76
31,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_sw_17_060_20191129_000244.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909008_sw_15_060_20190707_000253.jpg,244,53
32,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30090_m_3009059_se_15_060_20190831_000121.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\fl_60cm_2019_30081_m_3008144_nw_17_060_20191119_000121.jpg,745,102
33,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_37122_m_3712205_se_10_060_20180723_000153.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909008_se_15_060_20190707_000159.jpg,1235,105
34,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909007_se_15_060_20190707_000140.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909007_se_15_060_20190707_000145.jpg,475,254
35,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909007_se_15_060_20190707_000267.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909007_se_15_060_20190707_000277.jpg,479,2
36,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909008_se_15_060_20190707_000178.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\fl_60cm_2019_30081_m_3008136_sw_17_060_20191119_000178.jpg,494,206
37,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_sw_17_060_20191129_000147.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909008_sw_15_060_20190707_000152.jpg,236,264
38,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_sw_17_060_20191129_000287.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909008_sw_15_060_20190707_000298.jpg,248,161
39,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909007_se_15_060_20190707_000292.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909007_se_15_060_20190707_000303.jpg,481,14
40,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_sw_17_060_20191129_000172.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909008_sw_15_060_20190707_000178.jpg,239,82
41,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_sw_17_060_20191129_000289.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909008_sw_15_060_20190707_000300.jpg,250,220
42,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_sw_17_060_20191129_000334.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909008_sw_15_060_20190707_000347.jpg,256,72
43,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_37122_m_3712205_se_10_060_20180723_000107.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909008_se_15_060_20190707_000111.jpg,1233,316
44,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_sw_15_060_20190726_000490.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\al_60cm_2019_30088_m_3008824_ne_16_060_20191115_000510.jpg,856,89
45,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909008_se_15_060_20190707_000223.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\fl_60cm_2019_30081_m_3008136_sw_17_060_20191119_000223.jpg,496,275
46,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_nw_11_060_20180723_000062.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\fl_60cm_2019_30081_m_3008135_se_17_060_20191119_000062.jpg,1109,177
47,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_sw_15_060_20190726_000198.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\al_60cm_2019_30088_m_3008824_ne_16_060_20191115_000206.jpg,839,281
48,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30090_m_3009059_ne_15_060_20190831_000116.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\fl_60cm_2019_30081_m_3008143_ne_17_060_20191119_000116.jpg,733,133
49,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30090_m_3009059_ne_15_060_20190831_000017.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\fl_60cm_2019_30081_m_3008143_ne_17_060_20191119_000017.jpg,727,306
50,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_sw_15_060_20190726_000273.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\al_60cm_2019_30088_m_3008824_ne_16_060_20191115_000284.jpg,842,185
51,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_sw_15_060_20190726_000419.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\al_60cm_2019_30088_m_3008824_ne_16_060_20191115_000436.jpg,853,271
52,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30090_m_3009059_ne_15_060_20190831_000235.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\fl_60cm_2019_30081_m_3008143_ne_17_060_20191119_000235.jpg,742,95
53,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_sw_15_060_20190726_000175.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\al_60cm_2019_30088_m_3008824_ne_16_060_20191115_000182.jpg,838,276
54,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_sw_17_060_20191129_000358.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909008_sw_15_060_20190707_000372.jpg,258,296
55,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_sw_17_060_20191129_000295.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909008_sw_15_060_20190707_000306.jpg,252,109
56,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30091_m_3009131_sw_15_060_20190726_000467.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\al_60cm_2019_30088_m_3008824_ne_16_060_20191115_000486.jpg,855,187
57,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\ca_60cm_2018_33118_m_3311814_nw_11_060_20180723_000380.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\fl_60cm_2019_30081_m_3008135_se_17_060_20191119_000380.jpg,1116,176
58,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_29090_m_2909007_se_15_060_20190707_000129.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909007_se_15_060_20190707_000134.jpg,472,261
59,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_sw_17_060_20191129_000359.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909008_sw_15_060_20190707_000373.jpg,259,41
60,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_sw_17_060_20191129_000270.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909008_sw_15_060_20190707_000280.jpg,247,9
61,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\la_60cm_2019_30090_m_3009059_ne_15_060_20190831_000212.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\fl_60cm_2019_30081_m_3008143_ne_17_060_20191119_000212.jpg,740,26
62,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Qianyu/chips_positive\fl_60cm_2019_27082_m_2708205_sw_17_060_20191129_000267.jpg,//oit-nas-fe13dc.oit.duke.edu//data_commons-borsuk//unverified_images\student_reviewed_unverified_images_set1/Alex/student_reviewed_images1/chips_positive\la_60cm_2019_29090_m_2909008_sw_15_060_20190707_000277.jpg,245,27
