X,Y,FID,Company,Site,State_Name,PADD,LONGITUDE,LATITUDE,Source
-123.44288,48.141635,21,TESORO REFINING & MARKETING,PORT ANGELES,Washington,5,-123.44288,48.141635,EIA815
-73.822048,40.896871,22,SPRAGUE OPERATING RESOURCES LLC,MT VERNON,New York,1,-73.822048,40.896871,EIA815
-113.71062,42.516768,23,ANDEAVOR LOGISTICS LP,BURLEY,Idaho,4,-113.71062,42.516768,EIA815
-71.404544,41.810291,24,SPRAGUE OPERATING RESOURCES LLC,PROVIDENCE,Rhode Island,1,-71.404544,41.810291,EIA815
-121.334348,37.941952,25,ANDEAVOR LOGISTICS LP,STOCKTON,California,5,-121.334348,37.941952,EIA815
-71.061312,42.397236,26,SPRAGUE OPERATING RESOURCES LLC,EVERETT,Massachusetts,1,-71.061312,42.397236,EIA815
-122.703008,45.637627,27,ANDEAVOR LOGISTICS LP,VANCOUVER,Washington,5,-122.703008,45.637627,EIA815
-73.161296,41.168967,28,SPRAGUE OPERATING RESOURCES LLC,BRIDGEPORT,Connecticut,1,-73.161296,41.168967,EIA815
-117.370231,34.058107,29,ANDEAVOR LOGISTICS LP,COLTON,California,5,-117.370231,34.058107,EIA815
-73.906968,40.801953,30,SPRAGUE OPERATING RESRCS LLC,PORT MORRIS,New York,1,-73.906968,40.801953,EIA815
-118.164018,33.953004,31,ANDEAVOR LOGISTICS LP,VINVALE,California,5,-118.164018,33.953004,EIA815
-72.582323,42.116183,32,SPRAGUE OPERATING RESOURCES LLC,SPRINGFIELD ARMORY,Massachusetts,1,-72.582323,42.116183,EIA815
-117.141032,32.693753,33,ANDEAVOR LOGISTICS LP,SAN DIEGO,California,5,-117.141032,32.693753,EIA815
-72.567518,42.125529,34,SPRAGUE OPERATING RESOURCES LLC,SPRINGFIELD ST JAMES,Massachusetts,1,-72.567518,42.125529,EIA815
-118.158469,33.80163,35,ANDEAVOR LOGISTICS LP,HATHAWAY,California,5,-118.158469,33.80163,EIA815
-71.369886,41.832121,36,SPRAGUE OPERATING RESOURCES LLC,EAST PROVIDENCE,Rhode Island,1,-71.369886,41.832121,EIA815
-118.215598,33.779647,37,ANDEAVOR LOGISTICS LP,CARSON TERMINAL 3,California,5,-118.215598,33.779647,EIA815
-73.738237,40.62809,38,SPRAGUE OPERATING RESRCS LLC,LAWRENCE BLENDING TERMINAL,New York,1,-73.738237,40.62809,EIA815
-118.159912,33.8619,39,ANDEAVOR LOGISTICS LP,EAST HYNES,California,5,-118.159912,33.8619,EIA815
-73.746583,40.627435,40,SPRAGUE OPERATING RESRCS LLC,INWOOD,New York,1,-73.746583,40.627435,EIA815
-118.215598,33.779647,41,ANDEAVOR LOGISTICS LP,CARSON MARINE TERMINAL 2,California,5,-118.215598,33.779647,EIA815
-96.183098,47.725353,42,HESS CORP,SOLAR GAS INC,Minnesota,2,-96.183098,47.725353,EIA815
-118.262119,33.83161,43,ANDEAVOR LOGISTICS LP,CARSON,California,5,-118.262119,33.83161,EIA815
-84.60188,39.0764,44,VALVOLINE,VALVOLINE CINCINNATI PLANT,Ohio,2,-84.60188,39.0764,EIA815
-119.046109,46.210137,45,ANDEAVOR LOGISTICS LP,PASCO,Washington,5,-119.046109,46.210137,EIA815
-80.2628,40.6933,46,VALVOLINE,EAST ROCHESTER,Pennsylvania,1,-80.2628,40.6933,EIA815
-90.214,38.58687,47,VALVOLINE LLC,SAINT LOUIS,Missouri,2,-90.214,38.58687,EIA815
-87.879758,41.741721,48,VALVOLINE LLC,WILLOW SPRINGS,Illinois,2,-87.879758,41.741721,EIA815
-97.369354,25.960744,49,ABC GULF COAST TERMINAL,ABC GULF COAST TERMINAL,Texas,3,-97.369354,25.960744,EIA815
-95.210259,29.74146,50,CHEVRON USA INC GALENA PARK,GALENA PARK TERMINAL,Texas,3,-95.210259,29.74146,EIA815
-97.326248,32.788155,51,CHEVRON USA INC FORT WORTH,FORT WORTH TERMINAL,Texas,3,-97.326248,32.788155,EIA815
-118.418697,33.916346,52,CHEVRON USA INC EL SEGUNDO,EL SEGUNDO CA,California,5,-118.418697,33.916346,EIA815
-92.901124,32.544419,53,CHEVRON USA INC ARCADIA,ARCADIA TERMINAL,Louisiana,3,-92.901124,32.544419,EIA815
-89.595934,31.68039,54,CHEVRON USA INC COLLINS,COLLINS MS,Mississippi,3,-89.595934,31.68039,EIA815
-88.500778,30.376091,55,CHEVRON USA INC PASCAGOULA,PASCAGOULA MS,Mississippi,3,-88.500778,30.376091,EIA815
-122.736418,45.56186,56,CHEVRON USA INC WILLBRIDGE,WILLBRIDGE TERMINAL,Oregon,5,-122.736418,45.56186,EIA815
-117.140205,32.693189,57,CHEVRON USA INC SAN DIEGO TERMINAL,SAN DIEGO TERMINAL,California,5,-117.140205,32.693189,EIA815
-118.46804,34.179382,58,CHEVRON USA INC VAN NUYS,VAN NUYS TERMINAL,California,5,-118.46804,34.179382,EIA815
-117.999913,33.703025,59,CHEVRON USA INC HUNTINGTON BEACH,HUNTINGTON BEACH TERMINAL,California,5,-117.999913,33.703025,EIA815
-118.122139,34.006183,60,CHEVRON USA INC MONTEBELLO,MONTEBELLO CA,California,5,-118.122139,34.006183,EIA815
-121.348869,37.751423,61,CHEVRON USA INC TRACY,TRACY TERMINAL,California,5,-121.348869,37.751423,EIA815
-121.884916,37.364626,62,CHEVRON USA INC SAN JOSE,SAN JOSE TERMINAL,California,5,-121.884916,37.364626,EIA815
-121.512485,38.568612,63,CHEVRON USA INC SACRAMENTO,SACRAMENTO TERMINAL,California,5,-121.512485,38.568612,EIA815
-122.05744,38.008487,64,CHEVRON USA INC MARTINEZ,MARTINEZ TERMINAL,California,5,-122.05744,38.008487,EIA815
-124.194044,40.776818,65,CHEVRON USA INC EUREKA,EUREKA CA,California,5,-124.194044,40.776818,EIA815
-122.387766,37.928277,66,CHEVRON USA INC RICHMOND,RICHMOND CA TERMINAL,California,5,-122.387766,37.928277,EIA815
-84.271879,33.909583,67,CHEVRON USA INC DORAVILLE,DORAVILLE TERMINAL,Georgia,1,-84.271879,33.909583,EIA815
-85.665487,30.157719,68,CHEVRON USA INC PANAMA CITY,PANAMA CITY FL,Florida,1,-85.665487,30.157719,EIA815
-82.536719,27.862206,69,CHEVRON USA INC TAMPA,TAMPA TERMINAL,Florida,1,-82.536719,27.862206,EIA815
-86.878426,33.459499,70,CHEVRON USA INC BIRMINGHAM,BIRMINGHAM TERMINAL,Alabama,3,-86.878426,33.459499,EIA815
-80.128083,26.092776,71,CHEVRON USA INC FORT LAUDERDALE,FT LAUDERDALE TERMINAL,Florida,1,-80.128083,26.092776,EIA815
-79.94629,32.82729,72,CHEVRON USA INC CHARLESTON,CHARLESTON SC,South Carolina,1,-79.94629,32.82729,EIA815
-77.950466,34.18065,73,APEX OIL COMPANY INC,WILMINGTON,North Carolina,1,-77.950466,34.18065,EIA815
-76.55728,39.305458,74,PETROLEUM FUEL AND TERMINAL COMPANY,BALTIMORE NORTH,Maryland,1,-76.55728,39.305458,EIA815
-73.748978,42.627315,75,PETROLEUM FUEL AND TERMINAL COMPANY,ALBANY,New York,1,-73.748978,42.627315,EIA815
-76.569151,39.273791,76,PETROLEUM FUEL AND TERMINAL COMPANY,BALTIMORE SOUTH,Maryland,1,-76.569151,39.273791,EIA815
-87.80192,41.805784,77,PETROLEUM FUEL AND TERMINAL COMPANY,CHICAGO,Illinois,2,-87.80192,41.805784,EIA815
-81.630172,30.32169,78,PETROLEUM FUEL AND TERMINAL COMPANY,JACKSONVILLE SOUTH,Florida,1,-81.630172,30.32169,EIA815
-90.64663,30.05498,79,APEX OIL COMPANY INC,MT AIRY,Louisiana,3,-90.64663,30.05498,EIA815
-76.576573,39.241289,80,PETROLEUM FUEL & TERMINAL CO,BALTIMORE WEST,Maryland,1,-76.576573,39.241289,EIA815
-76.28533,36.804807,81,PETROLEUM FUEL & TERMINAL CO,CHESAPEAKE,Virginia,1,-76.28533,36.804807,EIA815
-77.678222,43.164687,82,PETROLEUM FUEL & TERMINAL CO,GATES,New York,1,-77.678222,43.164687,EIA815
-73.769099,42.607585,83,PETROLEUM FUEL & TERMINAL CO,GLENMONT,New York,1,-73.769099,42.607585,EIA815
-90.074248,35.114569,84,PETROLEUM FUEL & TERMINAL CO,MEMPHIS,Tennessee,2,-90.074248,35.114569,EIA815
-92.232319,34.749777,85,PETROLEUM FUELS & TERMINAL CO,NORTH LITTLE ROCK,Arkansas,3,-92.232319,34.749777,EIA815
-90.166656,38.715568,86,PETROLEUM FUEL & TERMINAL CO,GRANITE CITY,Illinois,2,-90.166656,38.715568,EIA815
-91.1544,30.4506,87,PETROLEUM FUEL & TERMINAL CO,BATON ROUGE,Louisiana,3,-91.1544,30.4506,EIA815
-91.942631,34.257305,88,PETROLEUM FUEL & TERMINAL CO,PINE BLUFF,Arkansas,3,-91.942631,34.257305,EIA815
-90.181965,38.641999,89,PETROLEUM FUEL & TERMINAL CO,ST LOUIS,Missouri,2,-90.181965,38.641999,EIA815
-81.626751,30.357816,90,PETROLEUM FUEL & TERMINAL CO,JACKSONVILLE NORTH,Florida,1,-81.626751,30.357816,EIA815
-80.628944,40.390685,91,PETROLEUM FUEL & TERMINAL CO,WEIRTON,West Virginia,1,-80.628944,40.390685,EIA815
-88.059725,30.76802,92,PETROLEUM FUEL & TERMINAL CO,CHICKASAW,Alabama,3,-88.059725,30.76802,EIA815
-88.154324,30.632299,93,PETROLEUM FUEL & TERMINAL CO,BLAKELEY ISLAND,Alabama,3,-88.154324,30.632299,EIA815
-79.925164,36.078616,94,PETROLEUM FUEL & TERMINAL CO,GREENSBORO,North Carolina,1,-79.925164,36.078616,EIA815
-75.620959,38.359939,95,PETROLEUM FUEL & TERMINAL CO,SALISBURY,Maryland,1,-75.620959,38.359939,EIA815
-74.131437,40.711055,96,PETROLEUM FUEL & TERMINAL CO,NEWARK,New Jersey,1,-74.131437,40.711055,EIA815
-81.11224,32.094041,97,COLONIAL TERMINALS INC,SAVANNAH,Georgia,1,-81.11224,32.094041,EIA815
-77.947329,34.22196,98,CTI OF NORTH CAROLINA INC,WILMINGTON,North Carolina,1,-77.947329,34.22196,EIA815
-90.1111,35.09173,99,ERGON ASPHALT & EMULSIONS INC,MEMPHIS,Tennessee,2,-90.1111,35.09173,EIA815
-86.734391,36.160874,100,ERGON ASPHALT & EMULSIONS INC,NASHVILLE,Tennessee,2,-86.734391,36.160874,EIA815
-87.107981,33.560672,101,ERGON ASPHALT & EMULSIONS INC,BIRMINGPORT,Alabama,3,-87.107981,33.560672,EIA815
-94.822744,39.201764,102,ERGON ASPHALT & EMULSIONS INC,WOLCOTT,Kansas,2,-94.822744,39.201764,EIA815
-97.098333,31.558546,103,ERGON ASPHALT & EMULSIONS INC,WACO,Texas,3,-97.098333,31.558546,EIA815
-94.97396,33.13124,104,ERGON ASPHALT & EMULSIONS INC,MT PLEASANT,Texas,3,-94.97396,33.13124,EIA815
-98.478921,28.966925,105,ERGON ASPHALT & EMULSIONS INC,PLEASANTON,Texas,3,-98.478921,28.966925,EIA815
-88.240143,34.975737,106,ERGON ASPHALT & EMULSIONS INC,YELLOW CREEK,Mississippi,3,-88.240143,34.975737,EIA815
-97.737299,30.377216,107,ERGON ASPHALT AND EMULSIONS,AUSTIN PLANT,Texas,3,-97.737299,30.377216,EIA815
-95.743913,36.241442,108,ERGON ASPHALT & EMULSIONS,CATOOSA EM PLANT,Oklahoma,2,-95.743913,36.241442,EIA815
-99.942566,37.750562,109,ERGON ASPHALT AND EMULSIONS,DODGE CITY PLANT,Kansas,2,-99.942566,37.750562,EIA815
-96.834765,37.810133,110,ERGON ASPHALT AND EMULSIONS,EL DORADO PLANT,Kansas,2,-96.834765,37.810133,EIA815
-96.64244,32.356346,111,ERGON ASPHALT AND EMULSIONS,ENNIS PLANT,Texas,3,-96.64244,32.356346,EIA815
-117.47941,34.06293,112,ERGON ASPHALT AND EMULSIONS,FONTANA PLANT,California,5,-117.47941,34.06293,EIA815
-97.52148,38.00414,113,ERGON ASPHALT AND EMULSIONS,HALSTEAD PLANT,Kansas,2,-97.52148,38.00414,EIA815
-115.23436,36.01688,114,ERGON ASPHALT AND EMULSIONS,LAS VEGAS T2 PLANT,Nevada,5,-115.23436,36.01688,EIA815
-98.50481,34.60236,115,ERGON ASPHALT AND EMULSIONS,LAWTON PLANT,Oklahoma,2,-98.50481,34.60236,EIA815
-92.26505,34.67861,116,ERGON ASPHALT AND EMULSIONS,LITTLE ROCK PLANT,Arkansas,3,-92.26505,34.67861,EIA815
-88.03556,35.62824,117,ERGON ASPHALT AND EMULSIONS,PARSONS PLANT,Tennessee,2,-88.03556,35.62824,EIA815
-97.6204,38.85257,118,ERGON ASPHALT AND EMULSIONS,SALINA PLANT,Kansas,2,-97.6204,38.85257,EIA815
-97.496799,27.817538,119,ERGON ASPHALT AND EMULSIONS,CORP CHRISTI PLANT,Texas,3,-97.496799,27.817538,EIA815
-115.19164,36.08086,120,ERGON ASPHALT AND EMULSIONS,LAS VEGAS T1,Nevada,5,-115.19164,36.08086,EIA815
-81.13382,32.10522,121,ERGON ASPHALT & EMULSIONS INC,GARDEN CITY PLANT,Georgia,1,-81.13382,32.10522,EIA815
-97.365542,32.871243,122,ERGON ASPHALT & EMULSIONS INC,SAGINAW,Texas,3,-97.365542,32.871243,EIA815
-101.855,33.5778,123,ERGON ASPHALT & EMULSIONS INC,LUBBOCK,Texas,3,-101.855,33.5778,EIA815
-176.657578,51.880009,124,ADAK PETROLEUM LLC,ANCHORAGE,Alaska,5,-176.657578,51.880009,EIA815
-149.832589,61.13985,125,FROSTY FUELS LLC,COLD BAY,Alaska,5,-149.832589,61.13985,EIA815
-112.174819,33.451222,126,CIRCLE K TERMINAL LLC,PHOENIX,Arizona,5,-112.174819,33.451222,EIA815
-86.878339,33.457978,127,CIRCLE K TERMINAL ALABAMA LLC,BIRMINGHAM,Alabama,3,-86.878339,33.457978,EIA815
-88.734119,43.63316,128,FLINT HILLS RESOURCES LP,FLINT HILLS RESOURCES LP-WAUPUN,Wisconsin,2,-88.734119,43.63316,EIA815
-88.043931,43.18741,129,FLINT HILLS RESOURCES LP,FLINT HILLS RESOURCES LP-MILWAUKEE,Wisconsin,2,-88.043931,43.18741,EIA815
-89.302839,43.033211,130,FLINT HILLS RESOURCES LP,FLINT HILLS RESOURCES LP-MADISON,Wisconsin,2,-89.302839,43.033211,EIA815
-90.917992,44.596378,131,FLINT HILLS RESOURCES LP,FLINT HILLS RESOURCES LP-JUNCTI,Wisconsin,2,-90.917992,44.596378,EIA815
-97.099599,32.81659,132,FLINT HILLS RESOURCES LP,FT WORTH,Texas,3,-97.099599,32.81659,EIA815
-97.629185,30.32419,133,FLINT HILLS RESOURCES LP,FLINT HILLS RESOURCES LP- AUSTIN,Texas,3,-97.629185,30.32419,EIA815
-97.41977,30.109135,134,FLINT HILLS RESOURCES LP,FLINT HILLS RESOURCES LP-BASTROP,Texas,3,-97.41977,30.109135,EIA815
-97.102192,31.567008,135,FLINT HILLS RESOURCES LP,FLINT HILLS RESOURCES LP- WACO,Texas,3,-97.102192,31.567008,EIA815
-98.528004,29.456239,136,FLINT HILLS RESOURCES LP,FLINT HILLS RESOURCES LP- SAN ANTONI,Texas,3,-98.528004,29.456239,EIA815
-94.216778,43.076751,137,FLINT HILL RESOURCES LP,ALGONA,Iowa,2,-94.216778,43.076751,EIA815
-90.681284,41.463473,138,FLINT HILLS RESOURCES LP,DAVENPORT,Iowa,2,-90.681284,41.463473,EIA815
-90.653486,42.508608,139,FLINT HILLS RESOURCES LP,DUBUQUE,Iowa,2,-90.653486,42.508608,EIA815
-95.788088,44.461246,140,FLINT HILLS RESOURCES LP,MARSHALL,Minnesota,2,-95.788088,44.461246,EIA815
-93.35302,44.78023,141,FLINT HILL RESOURCES LP,SAVAGE,Minnesota,2,-93.35302,44.78023,EIA815
-93.046224,44.930356,142,FLINT HILL RESOURCES LP,ST PAUL,Minnesota,2,-93.046224,44.930356,EIA815
-96.899837,46.882605,143,FLINT HILL RESOURCES LP,WEST FARGO,North Dakota,2,-96.899837,46.882605,EIA815
-95.93484,41.32195,144,FLINT HILLS RESOURCES LP,OMAHA II,Nebraska,2,-95.93484,41.32195,EIA815
-88.013296,44.540469,145,FLINT HILL RESOURCES LP,GREEN BAY,Wisconsin,2,-88.013296,44.540469,EIA815
-89.579183,44.511174,146,FLINT HILL RESOURCES LP,STEVENS POINT,Wisconsin,2,-89.579183,44.511174,EIA815
-97.677724,30.036869,147,FLINT HILLS RESOURCES LP,MUSTANG RIDGE FUELS TRMNL,Texas,3,-97.677724,30.036869,EIA815
-98.3932,29.4265,148,FLINT HILLS RESOURCES LP,SAN ANTONIO NORTH,Texas,3,-98.3932,29.4265,EIA815
-93.039906,44.76493,149,FLINT HILLS RESOURCES LP,UMORE,Minnesota,2,-93.039906,44.76493,EIA815
-85.776136,33.614755,150,MURPHY OIL USA INC,ANNISTON,Alabama,3,-85.776136,33.614755,EIA815
-82.443644,27.923438,151,MURPHY OIL USA INC,TAMPA,Florida,1,-82.443644,27.923438,EIA815
-86.137663,30.492396,152,MURPHY OIL USA INC,FREEPORT,Florida,1,-86.137663,30.492396,EIA815
-90.838189,35.96153,153,MURPHY OIL USA INC,JONESBORO,Arkansas,3,-90.838189,35.96153,EIA815
-86.38759,32.353829,154,MURPHY OIL USA INC,MONTGOMERY,Alabama,3,-86.38759,32.353829,EIA815
-87.720829,34.751268,155,MURPHY OIL USA INC,SHEFFIELD,Alabama,3,-87.720829,34.751268,EIA815
-88.745566,32.350384,156,MURPHY OIL USA INC,MERIDIAN,Mississippi,3,-88.745566,32.350384,EIA815
-90.221619,38.581651,157,AMERICAN RIVER TRANSP CO,ST LOUIS,Missouri,2,-90.221619,38.581651,EIA815
-71.021473,42.394563,158,GULF OIL LP,CHELSEA,Massachusetts,1,-71.021473,42.394563,EIA815
-74.235245,40.607227,159,GULF OIL LP,LINDEN,New Jersey,1,-74.235245,40.607227,EIA815
-72.901975,41.295274,160,GULF OIL LP,NEW HAVEN,Connecticut,1,-72.901975,41.295274,EIA815
-70.241542,43.649621,161,GULF OIL LP,S PORTLAND,Maine,1,-70.241542,43.649621,EIA815
-75.180703,39.8224,162,GULF OIL LP,WOODBURY,New Jersey,1,-75.180703,39.8224,EIA815
-75.431172,40.628727,163,LUCKNOW - HIGHSPIRE TERMINAL,ALLENTOWN,Pennsylvania,1,-75.431172,40.628727,EIA815
-76.985584,41.241015,164,LUCKNOW - HIGHSPIRE TERMINALS,ALTOONA,Pennsylvania,1,-76.985584,41.241015,EIA815
-80.172573,40.525586,165,LUCKNOW - HIGHSPIRE TERMINALS,CORAOPOLIS,Pennsylvania,1,-80.172573,40.525586,EIA815
-75.743434,41.335476,166,LUCKNOW - HIGHSPIRE TERMINALS,DUPONT,Pennsylvania,1,-75.743434,41.335476,EIA815
-76.791511,40.220106,167,LUCKNOW - HIGHSPIRE TERMINALS,HIGHSPIRE,Pennsylvania,1,-76.791511,40.220106,EIA815
-80.095137,40.499221,168,LUCKNOW - HIGHSPIRE TERMINALS,NEVILLE ISLAND WEST,Pennsylvania,1,-80.095137,40.499221,EIA815
-77.047527,40.222732,169,LUCKNOW - HIGHSPIRE TERMINALS,MECHANICSBURG,Pennsylvania,1,-77.047527,40.222732,EIA815
-76.800504,40.89815,170,LUCKNOW - HIGHSPIRE TERMINALS,NORTHUMBERLAND,Pennsylvania,1,-76.800504,40.89815,EIA815
-76.034195,40.319136,171,LUCKNOW - HIGHSPIRE TERMINALS,SINKING SPRING,Pennsylvania,1,-76.034195,40.319136,EIA815
-79.566074,40.398103,172,LUCKNOW - HIGHSPIRE TERMINALS,DELMONT,Pennsylvania,1,-79.566074,40.398103,EIA815
-75.482377,40.644396,173,LUCKNOW - HIGHSPIRE TERMINALS,FULLERTON,Pennsylvania,1,-75.482377,40.644396,EIA815
-80.085886,40.499141,174,LUCKNOW - HIGHSPIRE TERMINALS,NEVILLE ISLAND EAST,Pennsylvania,1,-80.085886,40.499141,EIA815
-122.356488,47.580494,175,TLP MANAGEMENT SERVICES LLC,SEATTLE,Washington,5,-122.356488,47.580494,EIA815
-122.781863,45.593562,176,TLP MANAGEMENT SERVICES LLC,PORTLAND,Oregon,5,-122.781863,45.593562,EIA815
-122.385572,47.277934,177,SEAPORT SOUND TERMINAL LLC,SOUND,Washington,5,-122.385572,47.277934,EIA815
-76.568938,39.240214,178,PIKE BALTIMORE TERMINALS LLC,BALTIMORE,Maryland,1,-76.568938,39.240214,EIA815
-152.425567,57.784586,179,PETRO STAR INC,KODIAK,Alaska,5,-152.425567,57.784586,EIA815
-146.360505,61.12911,180,PETRO STAR INC,VPT,Alaska,5,-146.360505,61.12911,EIA815
-166.550647,53.859425,181,PETRO STAR INC,CAPTAIN`S BAY,Alaska,5,-166.550647,53.859425,EIA815
-166.540579,53.869896,182,PETRO STAR INC,WESTWARD,Alaska,5,-166.540579,53.869896,EIA815
-166.522739,53.90608,183,PETRO STAR INC,BALLYHOO,Alaska,5,-166.522739,53.90608,EIA815
-166.511163,53.903729,184,PETRO STAR INC,RESOFF,Alaska,5,-166.511163,53.903729,EIA815
-149.858384,61.21755,185,PETRO STAR INC,POA TERMINAL,Alaska,5,-149.858384,61.21755,EIA815
-84.905191,32.522616,186,TRANSMONTAIGNE PRODUCT SERVICES LLC,TPSL COLUMBUS,Georgia,1,-84.905191,32.522616,EIA815
-84.199736,31.549019,187,TRANSMONTAIGNE PRODUCT SERVICES LLC,ALBANY,Georgia,1,-84.199736,31.549019,EIA815
-92.465096,31.338535,188,ALEXANDRIA TERMINAL CO LLC,ALEXANDRIA TERMINAL CO LLC,Louisiana,3,-92.465096,31.338535,EIA815
-92.105942,32.408678,189,MONROE TERMINAL COMPANY LLC,MONROE,Louisiana,3,-92.105942,32.408678,EIA815
-82.651033,30.221825,190,ASSOCIATED ASPHALT LAKE CITY LLC,LAKE CITY,Florida,1,-82.651033,30.221825,EIA815
-83.784376,34.222309,191,ASSOCIATED ASPHALT GAINSVILLE LLC,GAINSVILLE,Georgia,1,-83.784376,34.222309,EIA815
-80.939902,35.126388,192,ASSOCIATED ASPHALT CHARLOTTE LLC,CHARLOTTE,North Carolina,1,-80.939902,35.126388,EIA815
-82.194709,36.606363,193,ASSOCIATED ASPHALT BRISTOL LLC,BRISTOL,Virginia,1,-82.194709,36.606363,EIA815
-82.396838,27.922297,194,ASSOCIATED ASPHALT TAMPA LLC,TAMPA,Florida,1,-82.396838,27.922297,EIA815
-78.025982,39.386621,195,ASSOCIATED ASPHALT MARTINSBURG LLC,MARTINSBURG,West Virginia,1,-78.025982,39.386621,EIA815
-80.510271,35.686169,196,ASSOCIATED ASPHALT SALISBURY LLC,SALISBURY,North Carolina,1,-80.510271,35.686169,EIA815
-79.920274,36.07559,197,ASSOCIATED ASPHALT GREENSBORO LLC,GREENSBORO,North Carolina,1,-79.920274,36.07559,EIA815
-79.987219,37.270893,198,ASSOCIATED ASPHALT ROANOKE LLC,ROANOKE,Virginia,1,-79.987219,37.270893,EIA815
-82.05935,35.024571,199,ASSOCIATED ASPHALT INMAN LLC,INMAN,South Carolina,1,-82.05935,35.024571,EIA815
-77.271127,37.311737,200,ASSOCIATED ASPHALT HOPEWELL LLC,HOPEWELL,Virginia,1,-77.271127,37.311737,EIA815
-87.06513,37.791713,201,SOUTHERN STATES COOPERATIVE INC,OWENSBORO RIVER TERMINAL,Kentucky,2,-87.06513,37.791713,EIA815
-91.51898,40.13497,202,AYERS OIL CO,CANTON,Missouri,2,-91.51898,40.13497,EIA815
-72.645066,41.570632,203,B & B PETROLEUM INC,PORTLAND,Connecticut,1,-72.645066,41.570632,EIA815
-72.638882,41.776308,204,B&B PETROLEUM INC,EAST HARTFORD,Connecticut,1,-72.638882,41.776308,EIA815
-105.472172,44.033916,205,EQUITABLE OIL PURCHASING CO,CASPER,Wyoming,4,-105.472172,44.033916,EIA815
-89.302822,43.041323,206,US VENTURE INC,MADISON TERMINAL OIL GROUP,Wisconsin,2,-89.302822,43.041323,EIA815
-88.043825,43.190641,207,US VENTURE INC,MILWAUKEE NORTH,Wisconsin,2,-88.043825,43.190641,EIA815
-88.044048,43.183492,208,US VENTURE INC,MILWAUKEE SOUTH,Wisconsin,2,-88.044048,43.183492,EIA815
-88.043879,43.18898,209,US VENTURE INC,MILWAUKEE CENTRAL,Wisconsin,2,-88.043879,43.18898,EIA815
-91.415837,44.896081,210,US VENTURE INC,CHIPPEWA FALLS US OIL,Wisconsin,2,-91.415837,44.896081,EIA815
-88.023617,44.542675,211,US VENTURE INC,GREEN BAY PRODUCTS,Wisconsin,2,-88.023617,44.542675,EIA815
-88.013163,44.532342,212,US VENTURE INC,GREEN BAY BUCKEYE,Wisconsin,2,-88.013163,44.532342,EIA815
-89.302429,43.03997,213,US VENTURE INC,MADISON NORTHSOUTH,Wisconsin,2,-89.302429,43.03997,EIA815
-84.469159,45.647973,214,US VENTURE INC,CHEBOYGAN US OIL,Michigan,2,-84.469159,45.647973,EIA815
-88.013337,44.528818,215,US VENTURE INC,GREEN BAY FOX TERMINAL,Wisconsin,2,-88.013337,44.528818,EIA815
